IP Address,Port Number
85.31.251.62,8080
162.155.10.150,55443
146.185.169.166,7018
47.74.152.29,8888
45.167.253.129,999
103.166.10.134,8181
185.151.27.225,8081
8.210.221.30,80
45.189.252.250,999
159.192.131.178,80
177.6.235.74,8080
103.4.164.205,8080
175.103.36.70,80
43.224.10.26,6666
38.65.138.6,999
103.148.178.228,80
139.99.237.62,80
176.88.63.231,8080
188.163.171.198,8080
45.130.15.216,8080
117.54.114.103,80
103.232.215.194,80
176.9.75.42,8080
169.57.1.85,8123
88.198.50.103,3128
102.68.129.30,8080
116.254.116.235,8080
200.39.153.1,999
200.24.130.37,8080
204.199.129.38,999
103.110.162.210,80
47.89.153.213,80
173.165.102.210,8080
138.99.176.86,999
219.78.158.237,80
45.70.236.124,999
197.210.217.66,34808
161.202.226.194,8123
103.110.162.211,80
200.111.182.6,443
117.54.238.61,8080
138.117.84.65,999
213.230.121.63,8080
149.54.11.76,80
45.169.136.211,3128
138.117.84.134,999
80.253.31.206,8080
41.65.224.71,1981
190.26.201.194,8080
188.239.89.158,53281
203.150.128.30,8080
85.105.212.60,5003
88.198.24.108,8080
223.29.214.6,80
37.192.125.163,8081
103.146.30.178,8080
118.99.87.79,8080
95.0.219.234,8080
201.77.110.1,999
58.234.116.197,8193
113.161.59.136,8080
36.94.2.138,8080
88.198.24.108,3128
195.158.3.198,3128
159.8.114.34,25
197.211.45.4,10000
169.57.1.84,80
103.235.152.254,63123
41.65.181.133,8089
107.151.182.247,80
185.118.130.34,8080
177.242.151.136,8080
207.180.192.43,8118
38.123.68.152,999
161.202.226.194,80
51.91.157.66,80
190.90.242.208,999
124.158.161.184,8080
119.110.72.2,3888
195.168.98.98,8000
165.84.180.111,3128
103.149.162.194,80
190.216.107.254,999
128.199.202.122,8080
185.230.4.233,55443
138.201.120.214,1080
8.214.7.15,80
201.62.56.49,35816
41.76.155.26,80
164.90.252.243,3001
8.210.83.33,80
169.57.157.146,25
169.57.157.146,8123
185.118.129.44,8080
194.5.193.183,80
88.198.50.103,8080
45.33.26.53,3128
119.13.85.250,8888
94.152.214.82,80
101.99.31.69,3128
159.69.208.8,3128
169.57.157.148,25
159.8.114.37,8123
93.152.172.209,8080
217.197.158.182,41890
139.162.229.55,3128
71.25.47.187,8080
189.161.69.53,10101
103.126.150.177,80
176.241.89.244,53583
41.65.174.36,1976
45.250.226.14,3128
182.160.108.188,8090
24.113.42.177,48678
151.22.181.213,8080
139.162.60.194,8080
191.102.74.113,8080
47.243.244.157,8888
103.149.238.102,9090
51.79.121.94,3128
42.117.2.104,3128
45.172.111.12,999
182.253.199.101,8080
179.1.0.197,999
45.6.4.58,8080
103.172.197.242,8080
5.153.234.91,3128
103.109.2.76,8080
198.11.183.14,80
109.108.68.144,41890
79.124.78.144,5555
158.255.254.5,3128
160.119.128.66,8080
102.68.135.21,8080
67.73.245.218,999
188.133.152.247,1256
89.109.252.129,8080
176.88.117.138,8080
157.100.144.29,999
103.148.72.192,80
103.73.194.2,80
103.149.143.2,8080
